Days per month,Minuter per login,Lowest level completed,Customer added,Stories watched,Stories completed,Churn
15,92,5,25,432.25,373.0421657,0
16,99,5,33,654.4,508.7755405,0
15,75,6,0,1,0.803272869,0
1,34,4,41,18.425,14.5893152,0
25,76,3,25,594.75,476.3648654,0
21,45,5,38,449.875,348.9901624,0
4,44,5,46,102.2,85.59037319,0
27,40,4,37,500.5,408.4335883,0
2,76,4,40,77,58.6672291,0
7,47,4,35,144.9375,111.0207291,0
17,89,6,42,795.325,641.4023556,0
14,80,5,41,575,460.6436824,0
8,101,6,23,233.3,201.2117309,0
10,50,5,46,288.5,233.6161106,0
17,46,4,43,421.325,349.0217437,0
22,47,4,44,569.7,476.5330742,0
16,45,6,24,217,162.9414399,0
22,53,5,36,525.7,419.4392826,0
8,76,3,20,153,129.1785097,0
4,79,5,35,139.25,112.6804764,0
8,87,6,40,349,291.9344773,0
17,73,5,44,683.55,514.0340197,0
3,76,5,33,95.05,72.56760501,0
12,5,5,45,34.75,29.71893321,1
14,49,5,32,275.4,222.6767784,0
19,84,6,44,878.8,773.2535935,0
24,56,6,46,773.8,616.726939,0
14,80,5,45,631,520.0577515,0
12,76,5,27,308.8,279.2519044,0
16,31,6,42,261.4,229.9974201,0
5,78,4,44,215.5,164.1277603,0
31,53,6,29,596.5875,476.9623529,0
5,88,6,39,215.5,165.1650375,0
10,32,2,45,181,147.6811374,0
16,79,5,38,601.4,489.7076921,0
20,91,3,42,956.5,735.4619605,0
22,93,6,44,1126.3,926.3407225,1
22,44,4,40,485,377.6951618,1
19,70,5,38,632.75,493.7144419,0
15,82,4,40,616,504.1479544,0
14,43,4,41,309.525,266.5176188,0
9,101,5,41,466.8625,377.3641617,0
19,90,6,44,941.5,785.6765665,0
19,102,6,45,1091.125,872.0566268,0
18,68,5,38,582.4,525.8400513,0
3,69,5,40,104.5,92.51834435,0
13,44,5,26,186.9,136.9421229,0
10,45,6,37,209.125,173.8752826,0
7,87,6,35,267.4375,195.3761987,0
18,97,5,42,917.65,743.9291174,0
15,50,3,37,347.875,281.8220332,0
16,40,5,34,273,211.2603674,0
20,42,4,30,316,239.4167513,0
22,78,3,43,923.35,770.2897207,1
19,9,4,42,90.775,71.36147957,0
14,82,4,40,575,459.1447683,0
11,40,5,34,188,144.2557796,0
9,41,5,25,116.3125,90.37022159,0
3,40,5,33,50.5,47.02107244,1
19,47,6,38,425.175,336.3140245,0
16,70,4,26,365,303.2047845,0
29,92,4,38,1268.3,1094.567994,0
16,93,7,26,484.6,390.6433497,0
12,39,5,46,270.1,219.6403832,0
31,67,5,44,1143.35,1017.66485,0
19,94,4,38,849.35,743.2502702,0
17,38,6,39,315.925,210.5057999,0
12,35,6,40,211,169.793515,1
11,40,5,41,226.5,174.5957328,0
9,82,5,46,425.35,344.7812135,0
12,10,5,46,70,49.54796595,0
12,78,6,38,445.6,308.5857667,0
7,34,5,45,134.875,114.7374376,0
18,73,5,45,740.125,589.5455094,0
11,81,5,37,413.0875,329.1268503,0
19,81,4,36,693.55,555.3716643,0
14,89,5,34,530.55,430.4517983,0
20,7,4,43,76.25,66.37560776,0
16,10,5,39,79,57.68346666,0
16,93,5,28,521.8,405.3998866,0
15,92,5,40,691,565.226574,0
17,96,7,5,103,73.19591671,0
1,44,5,35,20.25,16.35441536,0
26,102,4,36,1194.4,1030.932147,0
8,102,6,42,429.4,304.6186758,0
17,75,6,25,399.4375,298.745762,0
9,88,5,15,149.5,115.4792671,0
16,41,5,41,337.2,287.2667354,0
9,94,5,45,476.875,401.2240472,0
15,50,4,45,422.875,305.0240199,0
11,44,4,29,176.45,136.9088176,0
17,70,4,21,313.375,262.1985042,0
16,93,3,45,838,718.6688565,0
10,38,5,39,186.25,144.7991532,0
9,43,5,33,160.6375,112.2399089,0
21,71,3,38,709.225,560.0786001,0
11,83,6,39,446.0875,381.1474784,0
14,77,5,45,607.375,541.4762511,0
12,93,6,45,628.75,491.6221388,0
18,36,6,39,316.9,249.8326518,0
25,95,4,11,327.5625,280.1776858,0
14,44,4,46,355.2,253.7723979,1
12,90,5,40,541,425.6198414,0
25,97,5,27,819.4375,642.478458,0
17,78,4,12,199.9,170.7689662,0
12,42,4,40,253,178.4252787,0
23,31,6,30,268.375,234.5078539,0
19,87,5,23,476.2375,363.6000852,0
16,81,5,42,681.4,568.5779527,0
20,76,5,44,837,717.8090203,0
13,89,5,44,637.35,483.6074602,0
12,94,5,45,635.5,556.6588877,0
24,63,3,46,870.4,694.5319294,1
15,47,4,19,168.4375,131.6731661,0
11,70,4,42,405.25,343.7019194,1
8,27,3,36,98.2,73.9071616,0
6,49,5,45,166.375,131.5136019,1
7,70,5,41,252.125,197.8408809,0
20,78,4,42,820,666.9806763,0
13,73,5,31,368.7375,316.8096157,0
11,72,5,46,456.4,338.3606314,0
23,38,7,46,503.55,393.5522438,0
24,54,6,36,584.2,475.9813725,0
24,92,5,44,1215.4,977.0803444,0
13,88,6,31,444.3,332.9184492,1
11,74,5,32,326.6,275.8204924,0
19,100,4,44,1046,782.6468299,0
15,40,7,16,121,90.31269587,0
30,76,4,26,742,510.8519825,0
28,48,5,34,572.2,448.5950248,0
15,11,5,45,93.8125,68.2731242,0
19,52,5,23,285.05,227.3285941,0
1,91,5,14,16.925,12.66994391,1
18,79,4,42,747.55,617.2914935,0
13,93,6,29,439.2625,341.0149144,0
16,92,6,45,829,652.9736171,0
12,83,3,37,461.65,369.1184259,0
18,90,5,41,831.25,698.801776,1
21,94,4,36,889.3,806.379877,0
9,39,6,40,176.5,121.1404874,0
22,94,3,45,1164.25,937.3391164,0
28,87,5,43,1310.35,928.0096463,0
9,86,4,28,271.9,229.9493925,0
5,41,5,32,83,69.64340947,0
10,48,4,45,271,221.6971503,1
2,85,2,46,98.75,80.20461344,0
10,47,6,38,224.25,163.9274893,0
22,45,5,40,496,382.8065583,0
19,52,4,41,507.35,342.5883317,0
23,92,7,46,1217.7,920.2550826,1
27,99,6,45,1504.5625,1124.803077,0
14,98,3,14,241.1,186.0882376,0
15,37,4,26,181.375,144.1713106,0
0,85,5,46,1,0.761976034,1
14,86,6,33,497.65,368.2542379,0
26,83,4,43,1160.925,825.6499581,0
14,87,3,39,594.775,436.2733989,0
12,81,3,42,511.3,406.0827255,0
11,63,5,45,390.8125,344.5391572,0
7,58,5,43,219.225,176.9643832,0
12,48,6,46,332.2,260.4842927,0
8,79,5,43,340.7,260.9369047,0
26,89,4,45,1302.625,1151.077002,0
13,87,6,3,43.4125,38.75840771,0
1,37,5,24,12.1,9.927788486,1
17,35,5,39,291.0625,242.0498402,0
11,88,5,43,521.3,433.2017106,0
12,81,4,45,547.75,346.1843332,0
15,89,5,45,751.9375,595.0142472,0
20,46,6,45,518.5,433.5022373,0
21,29,3,30,229.375,179.109944,0
17,97,5,35,722.4375,633.6505595,0
17,83,5,32,565.4,471.3316353,0
7,11,5,39,38.5375,29.84271314,0
8,52,6,43,224.6,177.0120727,0
8,76,4,42,320.2,227.6654561,0
21,82,7,31,668.275,546.8047552,0
12,65,5,41,400.75,303.9068045,0
23,90,5,28,725.5,570.2708976,1
26,10,4,34,111.5,90.88961964,0
15,8,6,45,68.5,52.13200649,0
15,109,4,32,655,631.3922905,0
5,85,5,46,245.375,188.9405489,0
15,11,4,40,83.5,68.55222685,0
17,82,5,43,750.275,582.0673581,0
25,48,5,46,691,536.392177,0
21,53,3,45,627.0625,495.6102412,0
9,97,6,30,328.375,280.9722675,0
18,92,5,44,911.8,732.6483292,0
16,66,5,44,581.8,415.2950021,0
14,80,5,30,421,301.6496207,0
14,71,6,37,460.725,315.0230109,0
11,78,4,31,333.475,255.128546,0
21,91,5,43,1028.1625,804.5967028,0
19,37,6,36,317.35,240.6313754,0
16,74,4,37,548.6,433.8327059,0
11,82,4,23,260.325,181.8505102,0
11,34,4,46,216.05,200.4775912,0
18,74,6,38,633.7,554.752339,0
14,66,6,39,451.45,374.921298,0
20,78,3,31,605.5,518.2089911,0
9,73,4,46,378.775,318.6357463,0
16,71,5,40,569,412.945686,0
18,71,6,27,432.325,344.2637267,0
16,81,5,45,730,647.7908153,0
13,89,7,46,666.275,529.4130937,0
17,97,4,38,784.275,559.8220771,0
20,94,5,37,870.5,707.2317745,0
9,44,7,30,149.5,120.302409,0
13,76,4,42,519.7,438.0982061,0
10,43,5,39,210.625,176.8870146,0
16,66,5,43,568.6,523.1915077,0
19,70,6,40,666,475.1003805,0
10,63,4,42,331.75,284.3372527,0
15,100,3,38,713.5,513.1552297,0
11,70,5,0,1,0.84203004,0
22,90,6,31,768.25,565.6312881,0
11,72,5,30,298,227.8639123,0
11,86,5,37,438.525,380.7596237,0
16,78,5,38,593.8,493.6192723,0
13,87,4,24,340.3,271.5170656,0
12,75,6,33,372.25,302.5944391,0
19,9,5,43,92.9125,65.34717401,0
21,53,6,40,557.5,475.6520293,0
17,68,7,27,391.15,334.7826207,0
5,40,6,37,93.5,74.0466555,0
25,77,4,37,891.3125,686.7975328,0
9,98,4,35,386.875,341.2486768,0
6,83,7,34,212.65,170.2487579,0
12,106,5,26,414.4,321.2770922,1
6,79,4,33,196.525,160.0874112,0
13,46,3,21,157.975,127.328467,0
22,73,6,0,1,0.851720003,0
11,75,5,44,454.75,378.6538148,0
12,32,5,4,20.2,17.70308258,0
17,91,5,41,793.8375,720.9834155,0
22,70,6,45,867.25,711.6953698,0
22,83,4,41,936.825,631.2541483,0
15,9,6,39,66.8125,50.53657517,0
9,73,6,32,263.8,222.1792095,0
21,40,5,43,452.5,360.9514424,0
14,48,4,31,261.4,197.0145478,0
16,55,5,44,485,359.6053119,0
11,69,7,28,266.65,243.5722946,0
20,44,4,39,430,331.1608908,1
14,47,5,44,362.9,278.4474348,0
13,89,5,35,507.1875,395.6725784,0
31,93,6,21,757.7875,599.827632,0
18,49,6,17,188.425,151.7859572,0
27,79,4,39,1040.8375,774.0346574,0
18,48,3,45,487,425.1753435,0
8,102,5,33,337.6,253.7445108,0
14,83,4,41,596.525,400.2692257,0
14,53,5,46,427.65,353.3799728,1
23,41,6,38,448.925,395.4523593,0
12,93,6,43,600.85,437.2548963,0
29,80,6,40,1161,900.6442037,0
27,102,5,34,1171.45,862.0453192,0
14,93,4,40,652,494.3334655,0
17,55,4,40,468.5,392.4155225,0
10,92,5,42,484,392.616532,0
14,88,4,39,601.6,500.7158162,0
19,82,7,36,702.1,523.8587724,0
9,68,6,25,192.25,137.9513647,0
15,94,5,41,723.625,598.8870805,0
26,94,5,21,642.55,525.5681687,0
12,83,6,43,536.35,442.0510361,0
19,33,4,18,142.075,123.6580746,0
18,84,6,39,738.1,597.2282554,0
8,43,5,43,185.9,144.7303303,0
6,4,4,40,13,10.64514422,1
12,70,6,44,463,390.4535518,0
18,41,6,40,370,325.7273133,0
21,80,5,43,904,530.5464967,0
25,95,4,42,1247.875,989.5413853,0
18,84,6,46,870.4,723.7486169,0
15,86,5,25,404.125,321.4011558,0
12,86,6,42,542.8,424.1357539,0
7,82,6,44,316.7,261.404713,0
8,104,5,29,302.6,245.3986903,0
25,42,5,45,591.625,521.208868,0
13,73,4,33,392.4625,337.6485224,0
11,69,4,32,304.6,245.0834686,0
14,41,6,40,288,232.8691721,0
8,75,6,13,98.5,83.89253492,0
13,88,5,38,544.4,417.9941133,0
16,97,4,46,893.4,680.4155174,0
9,42,6,45,213.625,167.3319587,1
14,82,5,15,216.25,167.6535636,0
18,43,4,35,339.625,285.8329663,0
18,66,6,30,446.5,410.7986225,0
19,51,5,42,509.725,410.4617551,0
11,95,4,43,562.6875,482.2683847,0
16,99,5,38,753.4,600.8283687,0
18,46,4,33,342.55,261.941651,0
13,76,5,34,420.9,370.1652188,0
17,85,8,31,560.9375,459.860836,1
19,44,5,41,429.45,359.5796841,0
20,83,4,33,685.75,578.0743432,0
19,82,4,38,741.05,586.9657763,0
12,81,5,46,559.9,441.7448427,1
26,74,3,32,770.6,606.1938696,0
11,48,4,37,245.2,189.2906518,0
20,49,5,41,503.25,377.7872527,0
0,46,5,22,1,0.797500581,1
17,95,5,42,848.875,660.7718203,0
3,88,5,26,86.8,70.96254062,0
17,36,5,42,322.3,259.316886,0
9,86,5,30,291.25,231.4327326,0
12,39,5,29,170.65,139.7891766,0
19,7,7,37,62.5125,50.46152754,0
13,91,4,45,666.4375,554.8601363,0
11,50,6,28,193.5,161.5854355,0
18,36,4,29,235.9,183.169,0
3,91,4,38,130.675,110.1636037,0
15,84,5,37,583.75,484.5496649,0
1,75,3,41,39.4375,31.99459271,1
12,38,5,43,246.1,191.2121032,0
25,34,5,18,192.25,164.0997183,0
12,87,5,43,562.15,451.2733122,0
17,94,5,32,640.2,540.5196241,0
17,76,4,32,517.8,390.0964415,0
16,90,5,40,721,607.5814031,0
12,83,4,42,523.9,411.8826232,0
24,74,5,37,822.4,597.3359366,0
13,95,3,44,680.25,606.5510759,0
13,80,5,46,599,477.2106601,0
9,47,5,46,244.225,176.6615548,0
11,59,6,42,341.725,286.184853,0
11,41,5,46,260.325,193.3699812,0
9,96,5,36,389.8,333.8939327,0
10,75,5,25,235.375,187.5100254,0
6,94,6,30,212.5,175.4817692,0
14,11,7,43,83.775,65.16194038,0
14,55,4,37,357.125,273.9292913,0
5,89,4,43,240.1875,205.3085558,0
25,85,7,43,1143.1875,912.3155903,0
13,95,5,37,572.1875,432.8481074,0
13,93,5,44,665.95,476.5685206,0
21,50,4,36,473.5,376.0852308,0
17,89,6,39,738.5875,556.6885691,0
11,81,5,39,435.3625,373.8492416,0
11,108,7,46,684.1,591.9941534,0
2,76,6,36,69.4,56.20525055,0
25,39,5,43,525.0625,463.4948149,0
26,81,5,41,1080.325,840.8487707,0
14,89,4,29,452.675,338.6096354,0
30,12,7,30,136,122.6036946,0
18,93,5,41,858.925,690.8471527,0
9,83,4,40,374.5,300.2864967,0
20,90,5,35,788.5,591.0707263,0
12,81,4,37,450.55,389.5209989,0
10,73,4,43,393.375,277.548986,0
25,85,5,46,1222.875,914.946703,0
16,53,5,22,234.2,206.3508134,0
11,94,4,32,414.6,358.5710758,0
13,85,6,45,622.5625,527.3183736,0
23,6,5,46,80.35,63.55915429,0
14,98,4,33,566.95,473.8814659,0
17,49,6,45,469.5625,372.3538867,0
20,88,5,39,859,604.975637,0
14,56,5,36,353.8,300.073609,0
18,80,6,44,793,639.9880037,0
17,83,7,34,600.675,552.2920548,0
19,80,6,32,609,416.9079175,0
11,78,5,35,376.375,315.6191133,0
9,85,5,36,345.25,282.4810563,0
11,105,5,32,463,345.9722848,0
15,81,5,39,593.3125,488.1373524,0
24,82,6,30,739,543.7989746,0
8,78,7,41,320.8,283.9790748,1
20,51,5,43,549.25,401.8038372,0
9,42,7,42,199.45,156.6504767,0
12,75,8,9,102.25,89.81479976,1
14,41,5,2,15.35,12.84544989,1
11,83,4,44,503.15,397.6053881,0
14,52,4,27,246.7,180.1084484,0
19,67,4,39,621.5875,489.1267631,0
23,91,4,34,890.525,752.8744527,0
27,46,6,41,637.525,509.1050252,0
12,81,6,0,1,0.808542259,0
24,45,7,44,595,519.3178903,0
20,36,7,35,316,250.0313543,0
13,86,5,35,490.125,398.1172298,0
7,38,6,33,110.725,75.80013515,1
8,85,6,28,239,164.8860077,0
8,101,5,28,283.8,218.8877398,0
7,93,6,33,269.5375,226.2380336,0
16,53,5,40,425,297.8348745,0
29,75,5,42,1142.875,952.9660716,0
24,56,5,46,773.8,603.4630919,0
19,11,6,43,113.3375,90.53741231,0
28,38,6,44,586.2,476.8178425,0
19,93,5,37,818.2375,695.2197264,0
15,80,6,27,406,287.4950681,0
31,92,4,24,856.6,722.9335361,0
15,47,6,30,265.375,186.8169199,0
19,71,6,40,675.5,521.5605314,0
11,87,6,35,419.6875,276.9208427,0
14,40,6,38,267,212.7897405,0
12,86,4,31,400.9,302.0842563,0
18,6,3,36,49.6,36.39597867,0
14,89,6,35,546.125,407.7639779,0
17,79,5,42,706.075,525.1063833,0
1,92,6,39,45.85,35.73342274,0
10,78,5,19,186.25,158.684431,0
16,90,7,42,757,620.3291876,0
14,45,5,40,316,271.5648884,0
10,48,5,44,265,220.7763532,0
31,83,5,34,1094.525,842.9027187,0
17,84,3,44,786.4,569.6124725,0
15,59,4,45,498.8125,400.7437573,0
15,96,3,45,811,640.4294772,0
13,42,4,46,314.95,246.4631923,0
24,51,7,32,490.6,383.6038507,0
16,88,6,40,705,610.1911623,0
8,42,6,33,139.6,122.8414424,0
14,84,5,39,574.3,454.2968852,0
25,94,8,43,1264.125,990.6424002,0
14,46,2,39,314.95,262.9347417,0
27,41,6,45,623.6875,500.0596948,0
4,46,5,23,53.9,40.23393802,0
21,44,5,43,497.65,420.1788565,0
15,66,4,29,359.875,256.5068505,0
16,91,4,46,838.2,628.6550618,0
18,101,6,44,1000.9,780.885451,1
17,82,5,41,715.425,493.2779152,0
16,86,5,41,706.2,554.5715631,0
28,76,6,45,1198,965.279573,0
11,71,3,41,401.2625,308.55949,0
8,69,3,40,277,222.642019,0
23,47,6,36,487.45,394.1401282,1
23,53,6,21,320.9875,262.515692,1
14,46,6,34,274.7,199.7279781,0
16,91,8,36,656.2,510.7921156,0
20,73,5,45,822.25,614.3227734,0
7,85,5,21,157.1875,130.2840426,0
14,100,5,30,526,393.2319088,1
24,12,3,36,130.6,115.4500154,0
11,84,6,22,255.1,197.1293681,0
11,88,4,42,509.2,423.7036046,0
17,46,5,40,392,319.2714916,0
20,39,5,43,420.25,328.5246912,0
7,88,5,45,347.5,267.7530911,0
14,90,6,44,694,526.4327384,0
12,94,5,46,649.6,577.2621066,0
15,95,4,45,802.5625,652.8282248,0
17,44,6,26,244.1,225.4921266,0
16,82,5,40,657,549.8011669,0
16,43,6,38,327.8,275.7400692,0
10,92,5,23,265.5,201.3319612,0
15,82,2,21,323.875,255.53364,0
14,101,7,39,690.325,553.5809133,0
10,40,6,36,181,157.3634979,0
14,88,6,44,678.6,548.4261381,0
15,86,7,45,726.625,596.6511562,0
19,75,5,25,446.3125,389.5663859,0
22,79,8,39,848.275,662.5619345,1
13,79,5,43,553.0125,444.4681734,0
1,92,5,44,51.6,39.34471476,0
19,5,6,34,41.375,33.66505679,1
19,92,4,39,853.15,669.2833739,1
8,82,5,41,337.2,250.8706942,0
13,77,5,40,501.5,412.9021358,0
29,51,4,40,740.5,554.0180465,0
11,42,4,44,255.1,206.1845436,0
20,93,4,44,1024,815.8467564,0
10,84,5,40,421,348.9059221,0
3,85,3,42,134.875,95.72052196,0
17,92,5,45,880.75,686.9220409,0
17,39,5,44,365.65,352.8833016,0
17,42,5,38,340.15,251.4395798,0
14,42,4,36,265.6,222.8853324,0
14,68,6,40,477,393.6161326,0
16,87,3,43,749.2,550.4679843,0
18,51,3,39,448.525,403.2101891,0
23,93,4,43,1150.7125,978.4381976,0
13,43,4,43,301.4625,246.9040971,0
18,67,4,41,619.075,497.3861581,0
19,43,2,42,429.925,342.3193293,0
14,38,6,46,306.9,224.5631161,0
7,44,6,46,178.1,141.460918,1
14,46,4,38,306.9,248.6350319,0
11,77,3,42,445.675,365.7299979,0
14,69,6,32,387.4,301.611048,0
16,76,5,36,548.2,431.8837496,0
16,85,4,40,681,542.1249375,0
11,80,7,38,419,361.0666206,0
14,54,5,40,379,311.8911912,0
18,47,3,33,349.975,309.7692303,0
10,80,7,21,211,177.7862148,0
11,99,5,41,559.1125,440.1959553,0
13,90,6,16,235,184.1209096,0
22,62,5,45,768.25,600.1805814,1
7,40,6,31,109.5,91.17666774,0
9,86,5,33,320.275,268.4165382,0
18,87,6,34,666.55,539.8183844,0
29,72,5,29,757.9,578.5505566,0
18,42,6,32,303.4,216.039464,0
20,43,3,18,194.5,152.1972419,0
11,43,4,43,255.2375,218.6623175,0
13,93,4,46,696.175,552.9241733,0
